date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:43	27789/27789	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-6c8d%22	https://themewagon.github.io/dashmin/index.html	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/index.html	(from )
11:44:46	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-239b%22	https://themewagon.github.io/robots.txt		(from )
11:44:46	13143/13143	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22639aba88-3357%22	https://themewagon.github.io/dashmin/img/favicon.ico	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/img/favicon.ico	(from https://themewagon.github.io/dashmin/index.html)
11:44:46	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/Project%20Management/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/dashmin/index.html)
11:44:47	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/Project%20Management/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/dashmin/index.html)
11:44:47	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639aba88-b78%22	https://themewagon.github.io/dashmin/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/dashmin/index.html)
11:44:47	9060/9060	---M-Z	200	added ('OK')	text/css	etag:W/%22639aba88-2364%22	https://themewagon.github.io/dashmin/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from https://themewagon.github.io/dashmin/index.html)
11:44:47	164309/164309	---M-Z	200	added ('OK')	text/css	etag:W/%22639aba88-281d5%22	https://themewagon.github.io/dashmin/css/bootstrap.min.css	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/css/bootstrap.min.css	(from https://themewagon.github.io/dashmin/index.html)
11:44:48	4998/4998	---M-Z	200	added ('OK')	text/css	etag:W/%22639aba88-1386%22	https://themewagon.github.io/dashmin/css/style.css	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/css/style.css	(from https://themewagon.github.io/dashmin/index.html)
11:44:48	10720/10720	---M--	200	added ('OK')	image/jpeg	etag:%22639aba88-29e0%22	https://themewagon.github.io/dashmin/img/user.jpg	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/img/user.jpg	(from https://themewagon.github.io/dashmin/index.html)
11:44:48	30144/30144	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-75c0%22	https://themewagon.github.io/dashmin/button.html	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/button.html	(from https://themewagon.github.io/dashmin/index.html)
11:44:48	24041/24041	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-5de9%22	https://themewagon.github.io/dashmin/typography.html	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/typography.html	(from https://themewagon.github.io/dashmin/index.html)
11:44:49	38647/38647	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-96f7%22	https://themewagon.github.io/dashmin/element.html	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/element.html	(from https://themewagon.github.io/dashmin/index.html)
11:44:49	22264/22264	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-56f8%22	https://themewagon.github.io/dashmin/widget.html	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/widget.html	(from https://themewagon.github.io/dashmin/index.html)
11:44:49	31673/31673	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-7bb9%22	https://themewagon.github.io/dashmin/form.html	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/form.html	(from https://themewagon.github.io/dashmin/index.html)
11:44:49	26117/26117	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-6605%22	https://themewagon.github.io/dashmin/table.html	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/table.html	(from https://themewagon.github.io/dashmin/index.html)
11:44:49	14311/14311	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-37e7%22	https://themewagon.github.io/dashmin/chart.html	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/chart.html	(from https://themewagon.github.io/dashmin/index.html)
11:44:50	4580/4580	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-11e4%22	https://themewagon.github.io/dashmin/signin.html	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/signin.html	(from https://themewagon.github.io/dashmin/index.html)
11:44:50	4850/4850	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-12f2%22	https://themewagon.github.io/dashmin/signup.html	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/signup.html	(from https://themewagon.github.io/dashmin/index.html)
11:44:51	13143/13143	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-3357%22	https://themewagon.github.io/dashmin/404.html	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/404.html	(from https://themewagon.github.io/dashmin/index.html)
11:44:51	12682/12682	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-318a%22	https://themewagon.github.io/dashmin/blank.html	C:/My%20Web%20Sites/Project%20Management/themewagon.github.io/dashmin/blank.html	(from https://themewagon.github.io/dashmin/index.html)
11:44:59	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/Project%20Management/code.jquery.com/jquery-3.4.1.min.js	(from https://themewagon.github.io/dashmin/index.html)
